Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,TrackStatus,LapSeconds,PersonalDelta,CumSeconds,Interval
ALB,34.0,0 days 00:01:19.675000,MEDIUM,34.0,10.0,0 days 01:40:25.347000,,False,1,79.675,0.1670000000000016,6025.347,4.289999999999964
ALB,35.0,0 days 00:01:19.622000,MEDIUM,35.0,10.0,0 days 01:41:44.969000,,False,1,79.622,-0.05299999999999727,6104.969,4.942000000000007
ALB,36.0,0 days 00:01:19.326000,MEDIUM,36.0,10.0,0 days 01:43:04.295000,,False,1,79.326,-0.2960000000000065,6184.295,5.6340000000000146
ALB,37.0,0 days 00:01:19.436000,MEDIUM,37.0,10.0,0 days 01:44:23.731000,,False,1,79.436,0.11000000000001364,6263.731,6.467999999999847
ALB,38.0,0 days 00:01:19.891000,MEDIUM,38.0,10.0,0 days 01:45:43.622000,,False,1,79.891,0.4549999999999983,6343.622,7.9080000000003565
ALB,39.0,0 days 00:01:22.772000,MEDIUM,39.0,10.0,0 days 01:47:06.394000,,False,1,82.772,2.8810000000000002,6426.394,12.231000000000677
ALB,40.0,0 days 00:01:19.731000,MEDIUM,40.0,10.0,0 days 01:48:26.125000,,False,1,79.731,-3.041000000000011,6506.125,13.386000000000422
ALB,41.0,0 days 00:01:19.424000,MEDIUM,41.0,10.0,0 days 01:49:45.549000,,False,1,79.424,-0.30699999999998795,6585.549,14.057999999999993
ALB,42.0,0 days 00:01:19.851000,MEDIUM,42.0,10.0,0 days 01:51:05.400000,,False,1,79.851,0.4269999999999925,6665.4,12.818999999999505
ALB,43.0,0 days 00:01:39,MEDIUM,43.0,10.0,0 days 01:52:44.400000,0 days 01:52:19.589000,True,1,99.0,19.149,6764.4,32.41599999999926
ALB,44.0,0 days 00:01:22.343000,SOFT,1.0,10.0,0 days 01:54:06.743000,,False,1,82.343,-16.656999999999996,6846.743,17.436000000000604
ALB,45.0,0 days 00:01:23.382000,SOFT,2.0,10.0,0 days 01:55:30.125000,,False,1,83.382,1.0390000000000015,6930.125,1.9920000000001892
ALB,46.0,0 days 00:01:22.221000,SOFT,3.0,10.0,0 days 01:56:52.346000,,False,1,82.221,-1.1610000000000014,7012.346,5.735999999999876
ALB,47.0,0 days 00:01:22.903000,SOFT,4.0,11.0,0 days 01:58:15.249000,,False,1,82.903,0.6820000000000022,7095.249,0.19799999999941065
ALB,48.0,0 days 00:01:19.909000,SOFT,5.0,11.0,0 days 01:59:35.158000,,False,1,79.909,-2.9939999999999998,7175.158,1.2250000000003638
ALB,49.0,0 days 00:01:19.573000,SOFT,6.0,11.0,0 days 02:00:54.731000,,False,1,79.573,-0.33600000000001273,7254.731,2.143000000000029
ALB,50.0,0 days 00:01:20.227000,SOFT,7.0,11.0,0 days 02:02:14.958000,,False,1,80.227,0.6540000000000106,7334.958,3.6239999999997963
ALB,51.0,0 days 00:01:21.678000,SOFT,8.0,11.0,0 days 02:03:36.636000,,False,1,81.678,1.4509999999999934,7416.636,6.411000000000058
ALB,52.0,0 days 00:01:19.769000,SOFT,9.0,11.0,0 days 02:04:56.405000,,False,1,79.769,-1.9089999999999918,7496.405,2.4659999999994398
ALB,53.0,0 days 00:01:22.571000,SOFT,10.0,11.0,0 days 02:06:18.976000,,False,1,82.571,2.8019999999999925,7578.976,3.144999999999527
ALB,54.0,0 days 00:01:18.157000,SOFT,11.0,11.0,0 days 02:07:37.133000,,False,1,78.157,-4.4140000000000015,7657.133,1.8559999999997672
ALB,55.0,0 days 00:01:18.900000,SOFT,12.0,11.0,0 days 02:08:56.033000,,False,1,78.9,0.7430000000000092,7736.033,0.9920000000001892
ALB,56.0,0 days 00:01:17.946000,SOFT,13.0,10.0,0 days 02:10:13.979000,,False,1,77.946,-0.9540000000000077,7813.979,5.003000000000611
ALB,57.0,0 days 00:01:18.191000,SOFT,14.0,10.0,0 days 02:11:32.170000,,False,1,78.191,0.24500000000000455,7892.17,2.199999999999818
ALB,58.0,0 days 00:01:37.607000,SOFT,15.0,10.0,0 days 02:13:09.777000,,False,124,97.607,19.415999999999997,7989.777,2.98700000000008
ALB,59.0,0 days 00:01:49.710000,SOFT,16.0,10.0,0 days 02:14:59.487000,0 days 02:14:40.583000,True,4,109.71,12.102999999999994,8099.487,1.5850000000000364
