Driver,Position,Status
HAM,1.0,Finished
RUS,2.0,Finished
NOR,3.0,Finished
VER,4.0,Finished
PIA,5.0,Finished
HAD,6.0,Lapped
GAS,7.0,Lapped
LAW,8.0,Lapped
LIN,9.0,Lapped
COL,10.0,Lapped
BOR,11.0,Lapped
SAI,12.0,Lapped
OCO,13.0,Lapped
PER,14.0,Lapped
LEC,15.0,Retired
ANT,16.0,Retired
BEA,17.0,Retired
ALB,18.0,Lapped
ALO,19.0,Retired
HUL,20.0,Retired
BOT,21.0,Retired
STR,22.0,Retired
