Driver,LapNumber,LapTime,Compound,TyreLife,Position,Time,PitInTime,PittedThisLap,LapSeconds,PersonalDelta,CumSeconds,Interval
BEA,53.0,0 days 00:01:24.514000,SOFT,,14.0,0 days 02:10:05.099000,,False,84.514,0.3849999999999909,7805.099,1.305000000000291
BEA,54.0,0 days 00:01:24.565000,SOFT,,14.0,0 days 02:11:29.664000,,False,84.565,0.05100000000000193,7889.664,1.28899999999976
BEA,55.0,0 days 00:01:24.642000,SOFT,,13.0,0 days 02:12:54.306000,,False,84.642,0.07699999999999818,7974.306,16.562999999999192
BEA,56.0,0 days 00:01:27.738000,SOFT,,13.0,0 days 02:14:22.044000,,False,87.738,3.0960000000000036,8062.044,20.4399999999996
BEA,57.0,0 days 00:01:24.737000,SOFT,,13.0,0 days 02:15:46.781000,,False,84.737,-3.0010000000000048,8146.781,21.561999999999898
BEA,58.0,0 days 00:01:24.379000,SOFT,,13.0,0 days 02:17:11.160000,,False,84.379,-0.3579999999999899,8231.16,22.386000000000422
BEA,59.0,0 days 00:01:24.106000,SOFT,,13.0,0 days 02:18:35.266000,,False,84.106,-0.27300000000001035,8315.266,22.80500000000029
BEA,60.0,0 days 00:01:43.521000,SOFT,,15.0,0 days 02:20:18.787000,0 days 02:20:15.746000,True,103.521,19.415000000000006,8418.787,3.393000000000029
BOR,1.0,0 days 00:01:34.169000,MEDIUM,1.0,17.0,0 days 00:55:15.508000,,False,94.169,,3315.508,0.27799999999979264
BOR,2.0,0 days 00:01:25.022000,MEDIUM,2.0,17.0,0 days 00:56:40.530000,,False,85.022,-9.146999999999991,3400.53,0.3380000000001928
BOR,3.0,0 days 00:01:25.078000,MEDIUM,3.0,17.0,0 days 00:58:05.608000,,False,85.078,0.055999999999997385,3485.608,0.4750000000003638
BOR,4.0,0 days 00:01:25.113000,MEDIUM,4.0,17.0,0 days 00:59:30.721000,,False,85.113,0.03499999999999659,3570.721,0.5019999999999527
BOR,5.0,0 days 00:01:25.442000,MEDIUM,5.0,17.0,0 days 01:00:56.163000,,False,85.442,0.3289999999999935,3656.163,0.7289999999998145
BOR,6.0,0 days 00:01:25.548000,MEDIUM,6.0,17.0,0 days 01:02:21.711000,,False,85.548,0.10600000000000875,3741.711,0.6849999999999454
BOR,7.0,0 days 00:01:26.224000,MEDIUM,7.0,17.0,0 days 01:03:47.935000,,False,86.224,0.6760000000000019,3827.935,0.8079999999999927
BOR,8.0,0 days 00:01:26.347000,MEDIUM,8.0,17.0,0 days 01:05:14.282000,,False,86.347,0.12299999999999045,3914.282,1.0280000000002474
BOR,9.0,0 days 00:01:26.301000,MEDIUM,9.0,17.0,0 days 01:06:40.583000,,False,86.301,-0.04599999999999227,4000.583,1.0080000000002656
BOR,10.0,0 days 00:01:26.426000,MEDIUM,10.0,17.0,0 days 01:08:07.009000,,False,86.426,0.125,4087.009,0.9290000000000873
BOR,11.0,0 days 00:01:26.600000,MEDIUM,11.0,17.0,0 days 01:09:33.609000,,False,86.6,0.17399999999999238,4173.609,0.875
BOR,12.0,0 days 00:01:26.792000,MEDIUM,12.0,16.0,0 days 01:11:00.401000,,False,86.792,0.19200000000000728,4260.401,1.0599999999994907
BOR,13.0,0 days 00:01:26.799000,MEDIUM,13.0,14.0,0 days 01:12:27.200000,,False,86.799,0.007000000000005002,4347.2,1.1059999999997672
BOR,14.0,0 days 00:01:26.526000,MEDIUM,14.0,13.0,0 days 01:13:53.726000,,False,86.526,-0.27300000000001035,4433.726,1.6989999999996144
BOR,15.0,0 days 00:01:29.806000,MEDIUM,15.0,12.0,0 days 01:15:23.532000,0 days 01:15:20.757000,True,89.806,3.280000000000001,4523.532,1.1190000000005966
BOR,16.0,0 days 00:01:44.821000,HARD,1.0,19.0,0 days 01:17:08.353000,,False,104.821,15.015,4628.353,0.41899999999986903
BOR,17.0,0 days 00:01:23.470000,HARD,2.0,18.0,0 days 01:18:31.823000,,False,83.47,-21.351,4711.823,1.2390000000004875
BOR,18.0,0 days 00:01:23.923000,HARD,3.0,17.0,0 days 01:19:55.746000,,False,83.923,0.45300000000000296,4795.746,4.493000000000393
BOR,19.0,0 days 00:01:23.551000,HARD,4.0,16.0,0 days 01:21:19.297000,,False,83.551,-0.3719999999999999,4879.297,3.5359999999991487
BOR,20.0,0 days 00:01:24.068000,HARD,5.0,16.0,0 days 01:22:43.365000,,False,84.068,0.5169999999999959,4963.365,2.818000000000211
BOR,21.0,0 days 00:01:23.836000,HARD,6.0,16.0,0 days 01:24:07.201000,,False,83.836,-0.23199999999999932,5047.201,1.8890000000001237
