Driver,Position,Status
ANT,1.0,Finished
HAM,2.0,Finished
GAS,3.0,Finished
HAD,4.0,Finished
PIA,5.0,Finished
LAW,6.0,Finished
LIN,7.0,Finished
ALB,8.0,Finished
OCO,9.0,Finished
ALO,10.0,Finished
BOR,11.0,Finished
RUS,12.0,Finished
HUL,13.0,Finished
COL,14.0,Finished
PER,15.0,Finished
SAI,16.0,Retired
LEC,17.0,Retired
STR,18.0,Retired
NOR,19.0,Retired
BEA,20.0,Retired
BOT,21.0,Retired
VER,22.0,Retired
